stop_id,title,description
3,"Spaghetti alla carbonara","Un classico primo piatto della cucina romana fatto con guanciale, uova, pecorino romano e pepe."
3,"Saltimbocca alla romana","Un secondo piatto tipico romano composto da fettine di vitello con prosciutto e salvia."
3,"Tiramisu","Un dolce italiano al cucchiaio composto da strati di savoiardi inzuppati nel caffè e crema al mascarpone."
6,"Paccheri cacio e pepe","Un piatto di pasta semplice e tradizionale fatto con pecorino romano e pepe nero."
6,"Abbacchio alla scottadito","Un secondo piatto romano di costolette di agnello grigliate."
6,"Maritozzo con la panna","Un dolce tipico romano composto da un panino dolce ripieno di panna montata."
11,"Bucatini all'amatriciana","Un primo piatto romano fatto con guanciale, pomodoro e pecorino romano."
11,"Pollo alla cacciatora","Un secondo piatto fatto con pollo cotto in un sugo di pomodoro, vino e aromi."
11,"Panna cotta","Un dolce italiano al cucchiaio fatto con panna, zucchero e gelatina."
13,"Gelato artigianale","Un gelato tradizionale italiano fatto con ingredienti freschi e naturali."
19,"Spaghetti alla zozzona","Un piatto tipico romano fatto con guanciale, salsiccia, uova, pecorino romano e pomodoro."
19,"Filetto di baccalà fritto","Un secondo piatto romano di filetto di baccalà impanato e fritto."
19,"Torta ricotta e visciole","Un dolce tipico romano fatto con una base di pasta frolla, ricotta e ciliegie selvatiche."
22,"Mezzemaniche alla gricia","Un piatto di pasta fatto con guanciale, pecorino romano e pepe."
22,"Trippa alla romana","Un piatto tradizionale romano fatto con trippa, pomodoro, menta e pecorino."
22,"Crostata di Ricotta","Un dolce tipico romano fatto con una base di pasta frolla e ripieno di ricotta dolce."
27,"Panino con porchetta","Un tipico panino romano ripieno di porchetta."