title,description,date,curiosity
"Partenza da Catania","Volo da Catania a Roma Fiumicino","2024-08-18 10:30:00","",
"Arrivo a Roma","Arrivo all'aeroporto di Roma Fiumicino e trasferimento in hotel","2024-08-18 12:30:00","",
"Pranzo a Trastevere","Pranzo in un ristorante tipico a Trastevere","2024-08-18 13:30:00","",
"Colosseo","Visita al Colosseo, simbolo di Roma antica","2024-08-18 15:00:00","Costruito nel 70-80 d.C., è il più grande anfiteatro mai costruito"
"Forum Romano","Passeggiata nel Foro Romano, il centro della vita pubblica nell'antica Roma","2024-08-18 17:00:00","Il luogo dove si tenevano i discorsi pubblici, processi criminali e combattimenti di gladiatori"
"Cena a Trastevere","Cena in un ristorante tipico a Trastevere","2024-08-18 20:00:00","",
"Rientro in Hotel","Ritorno in hotel e relax","2024-08-18 22:00:00","",
"Colazione in Hotel","Colazione in hotel prima di iniziare la giornata","2024-08-19 08:00:00","",
"Musei Vaticani","Visita ai Musei Vaticani e alla Cappella Sistina","2024-08-19 09:00:00","La Cappella Sistina è famosa per il soffitto dipinto da Michelangelo"
"Piazza San Pietro","Visita alla Basilica di San Pietro in Vaticano","2024-08-19 11:30:00","La più grande chiesa del mondo e uno dei luoghi più sacri del Cristianesimo"
"Pranzo vicino al Vaticano","Pranzo in un ristorante vicino al Vaticano","2024-08-19 13:00:00","",
"Castel Sant'Angelo","Visita a Castel Sant'Angelo","2024-08-19 14:30:00","Originariamente costruito come mausoleo per l'imperatore Adriano"
"Piazza Navona","Passeggiata e gelato in Piazza Navona","2024-08-19 16:00:00","Famosa per la Fontana dei Quattro Fiumi di Bernini"
"Cena in Centro","Cena in un ristorante nel centro di Roma","2024-08-19 19:30:00","",
"Rientro in Hotel","Ritorno in hotel e relax","2024-08-19 21:30:00","",
"Colazione in Hotel","Colazione in hotel prima di iniziare la giornata","2024-08-20 08:00:00","",
"Piazza di Spagna","Visita alla famosa scalinata di Piazza di Spagna","2024-08-20 09:00:00","Le scale furono costruite tra il 1723 e il 1725 per collegare l'ambasciata spagnola con la chiesa di Trinità dei Monti"
"Fontana di Trevi","Visita alla Fontana di Trevi e lancio della monetina","2024-08-20 11:00:00","Una leggenda dice che lanciare una moneta nella fontana assicura il ritorno a Roma"
"Pranzo vicino a Fontana di Trevi","Pranzo in un ristorante vicino alla Fontana di Trevi","2024-08-20 13:00:00",
"Pantheon","Visita al Pantheon, uno degli edifici antichi meglio conservati di Roma","2024-08-20 14:30:00","Costruito come tempio per tutti gli dei di Roma"
"Campo de' Fiori","Passeggiata nel mercato di Campo de' Fiori","2024-08-20 16:00:00","Un vivace mercato di giorno e un centro della vita notturna la sera"
"Cena a Trastevere","Cena in un ristorante tipico a Trastevere","2024-08-20 19:30:00","",
"Rientro in Hotel","Ritorno in hotel e relax","2024-08-20 21:30:00","",
"Colazione in Hotel","Colazione in hotel prima di iniziare la giornata","2024-08-21 08:00:00","",
"Basilica di San Giovanni in Laterano","Visita alla Basilica di San Giovanni in Laterano","2024-08-21 09:00:00","La cattedrale della diocesi di Roma, sede ecclesiastica ufficiale del Papa"
"Villa Borghese","Passeggiata nei giardini di Villa Borghese e visita alla Galleria Borghese","2024-08-21 11:00:00","La galleria ospita opere di Caravaggio, Bernini e Canova"
"Pranzo a Villa Borghese","Pranzo al sacco nei giardini di Villa Borghese","2024-08-21 13:00:00","",
"Galleria Borghese","Visita alla Galleria Borghese","2024-08-21 14:30:00","Una delle gallerie d'arte più importanti di Roma"
"Piazza del Popolo","Passeggiata a Piazza del Popolo","2024-08-21 16:00:00","La piazza ospita l'obelisco Flaminio, uno dei più antichi e alti obelischi di Roma"
"Rientro in Hotel","Ritorno in hotel e preparazione per il viaggio di ritorno","2024-08-21 17:30:00","",
"Partenza da Roma","Volo di ritorno da Roma a Catania","2024-08-21 19:15:00","",
"Arrivo a Catania","Arrivo all'aeroporto di Catania","2024-08-21 21:15:00","",